City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Marabba,SD,12.35,32.1833,101.37,12,71,4.21,broken clouds
217,Kahului,US,20.8947,-156.47,75.85,83,40,13.8,scattered clouds
218,Port Said,EG,31.2565,32.2841,66.6,80,4,14.36,clear sky
219,Uyuni,BO,-20.4597,-66.825,58.51,11,0,14.36,clear sky
220,Gizo,SB,-8.103,156.8419,81.72,76,100,6.26,overcast clouds
221,San Cristobal,VE,7.7669,-72.225,86.18,51,98,8.41,overcast clouds
222,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,81,100,2.3,light rain
223,Gao,ML,16.6362,1.637,103.06,7,22,14.03,few clouds
224,Soe,ID,-9.8607,124.284,66.11,95,48,3.69,scattered clouds
225,Carnarvon,AU,-24.8667,113.6333,66.27,72,0,8.05,clear sky
226,Mehamn,NO,71.0357,27.8492,28.35,74,75,3.44,broken clouds
227,San Patricio,US,28.017,-97.5169,88.52,59,68,16.4,broken clouds
228,Khatanga,RU,71.9667,102.5,17.01,95,98,11.68,overcast clouds
229,Rioja,AR,-29.4111,-66.8507,66.99,48,79,7.25,broken clouds
230,Alegrete,BR,-29.7831,-55.7919,60.46,95,100,7.23,overcast clouds
231,Coruripe,BR,-10.1256,-36.1756,83.59,60,78,13.29,broken clouds
232,Pochutla,MX,15.7432,-96.4661,90.82,42,80,7.47,broken clouds
233,Victoria,HK,22.2855,114.1577,65.25,93,100,5.99,moderate rain
234,Ilulissat,GL,69.2167,-51.1,24.82,46,0,4.61,clear sky
235,Kalmunai,LK,7.4167,81.8167,82.72,78,99,5.55,overcast clouds
236,Eureka,US,40.8021,-124.1637,59.2,74,3,1.99,clear sky
237,Ponta Do Sol,PT,32.6667,-17.1,72.23,60,0,2.1,clear sky
238,Henties Bay,NA,-22.116,14.2845,62.24,76,2,4.92,clear sky
239,Zhob,PK,31.3411,69.4481,81.32,13,33,5.01,scattered clouds
240,Prince Rupert,CA,54.3161,-130.3201,48.29,76,100,16.11,light rain
241,Surt,LY,31.2089,16.5887,68.25,75,0,27.78,clear sky
242,Ahipara,NZ,-35.1667,173.1667,60.04,88,98,6.2,overcast clouds
243,Birin,NP,26.8865,88.0718,59.49,81,31,5.1,scattered clouds
244,Belmonte,BR,-15.8631,-38.8828,81.7,62,17,7.02,few clouds
245,Shadrinsk,RU,56.0852,63.6335,46.72,66,74,8.59,light rain
246,Makakilo City,US,21.3469,-158.0858,73.72,75,40,8.05,light rain
247,Bubaque,GW,11.2833,-15.8333,78.85,69,12,11.43,few clouds
248,Tumen,CN,42.9661,129.8425,35.53,88,33,3.36,scattered clouds
249,Itaituba,BR,-4.2761,-55.9836,83.53,79,24,2.51,few clouds
250,Viedma,AR,-40.8135,-62.9967,57.42,49,86,5.97,overcast clouds
251,Sao Francisco Do Sul,BR,-26.2433,-48.6381,76.78,69,77,3.09,broken clouds
252,Dali,CN,25.7,100.1833,50.77,91,99,6.06,overcast clouds
253,Honningsvag,NO,70.9821,25.9704,28.15,80,75,8.05,broken clouds
254,Taksimo,RU,56.3444,114.8794,42.84,95,100,4.63,light rain
255,Namatanai,PG,-3.6667,152.4333,78.93,81,59,2.01,broken clouds
256,Kasempa,ZM,-13.4584,25.8338,61.99,66,1,4.36,clear sky
257,Makat,KZ,47.6469,53.3463,61.03,39,13,19.57,few clouds
258,Peno,RU,56.9262,32.7426,41.29,67,95,4.16,overcast clouds
259,Portland,US,45.5234,-122.6762,55.83,84,100,1.01,overcast clouds
260,Mayumba,GA,-3.432,10.6554,80.02,85,90,7.74,moderate rain
261,Marsa,MT,35.8792,14.4953,63.41,72,0,14.97,clear sky
262,Codrington,AU,-38.2667,141.9667,56.46,89,61,9.22,broken clouds
263,Nagato,JP,34.3833,131.2,49.19,63,91,6.85,overcast clouds
264,Fukue,JP,32.6881,128.8419,60.58,50,100,17.81,overcast clouds
265,Oktyabrskiy,RU,54.4815,53.471,37.08,62,66,5.39,broken clouds
266,Naze,JP,28.3667,129.4833,63.52,63,100,11.88,overcast clouds
267,Minas,UY,-34.3759,-55.2377,60.8,51,2,12.19,clear sky
268,Salinas,US,36.6777,-121.6555,61.02,63,0,10.36,clear sky
269,Sorland,NO,67.667,12.6934,42.66,91,100,29.57,overcast clouds
270,Griffith,US,41.5284,-87.4237,54.25,77,100,17.27,overcast clouds
271,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,44,3.58,scattered clouds
272,Kutum,SD,14.2,24.6667,88.38,7,74,9.37,broken clouds
273,Raudeberg,NO,61.9875,5.1352,45.95,79,100,14.2,overcast clouds
274,Sao Filipe,CV,14.8961,-24.4956,75.7,71,0,10.02,clear sky
275,Shitanjing,CN,39.2342,106.3439,51.44,16,14,11.07,few clouds
276,Cap Malheureux,MU,-19.9842,57.6142,75.47,81,6,1.99,clear sky
277,Dingle,PH,10.9995,122.6711,77.2,81,97,5.73,overcast clouds
278,Opuwo,NA,-18.0607,13.84,77.65,29,29,5.61,scattered clouds
279,Svetlaya,RU,46.5389,138.3297,36.55,76,100,16.6,overcast clouds
280,Ayan,RU,56.45,138.1667,27.37,89,17,3.27,few clouds
281,Nynashamn,SE,58.9034,17.9479,52.16,67,48,9.08,scattered clouds
282,Lebu,CL,-37.6167,-73.65,55.36,74,100,15.39,overcast clouds
283,Rocha,UY,-34.4833,-54.3333,62.56,50,4,13.44,clear sky
284,Laguna,US,38.421,-121.4238,67.28,58,0,13.8,clear sky
285,Police,PL,53.5521,14.5718,57.34,64,100,7.09,overcast clouds
286,Richards Bay,ZA,-28.783,32.0377,64.45,77,0,5.28,clear sky
287,Kwekwe,ZW,-18.9281,29.8149,60.73,79,33,13.6,scattered clouds
288,Tefe,BR,-3.3542,-64.7114,89.71,70,40,4.61,scattered clouds
289,Ushtobe,KZ,45.2514,77.9838,75.99,27,97,9.4,overcast clouds
290,Araouane,ML,18.9048,-3.5265,97.14,9,64,11.88,broken clouds
291,Padang,ID,-0.9492,100.3543,75.25,89,97,2.68,overcast clouds
292,Qui Nhon,VN,13.7667,109.2333,77.2,94,100,5.32,overcast clouds
293,Kavaratti,IN,10.5669,72.642,85.01,71,24,10.11,few clouds
294,Caravelas,BR,-17.7125,-39.2481,83.14,58,0,8.21,clear sky
295,Lata,PT,40.1629,-8.3327,62.08,59,29,12.19,scattered clouds
296,Dondo,MZ,-19.6094,34.7431,78.31,91,39,4.74,scattered clouds
